,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
762,"frozenset({'Driver', 'Seatbelt', 'Unknown'})","frozenset({'NA', 'Unscathed', 'Yes'})",0.47017391019404586,0.3561565745420606,0.2936241591779407,0.6245011745903953,1.753445588905293,0.1261686298841829,1.7146349918821102
763,"frozenset({'Driver', 'Seatbelt', 'Yes'})","frozenset({'NA', 'Unscathed', 'Unknown'})",0.47017391019404586,0.42932235928483375,0.2936241591779407,0.6245011745903953,1.4546206622703997,0.0917679867792574,1.5197854216791624
764,"frozenset({'Driver', 'Unscathed', 'Unknown'})","frozenset({'NA', 'Seatbelt', 'Yes'})",0.37442499805084084,0.5878511452581195,0.2936241591779407,0.7842002021939554,1.3340115240391697,0.07351799526048475,1.9098667326477727
765,"frozenset({'Driver', 'Unscathed', 'Yes'})","frozenset({'NA', 'Seatbelt', 'Unknown'})",0.3099937061933543,0.5878511452581195,0.2936241591779407,0.9471939375272241,1.611281946403831,0.11139400396936835,7.80495336031471
766,"frozenset({'Driver', 'Yes', 'Unknown'})","frozenset({'NA', 'Seatbelt', 'Unscathed'})",0.6475208390536917,0.3348113044450998,0.2936241591779407,0.4534590108436552,1.3543718650575325,0.07682686239898864,1.2170883954773513
767,"frozenset({'NA', 'Seatbelt', 'Unscathed'})","frozenset({'Driver', 'Yes', 'Unknown'})",0.3348113044450998,0.6475208390536917,0.2936241591779407,0.8769840064527669,1.3543718650575325,0.07682686239898864,2.8653116621861905
768,"frozenset({'NA', 'Seatbelt', 'Unknown'})","frozenset({'Driver', 'Unscathed', 'Yes'})",0.5878511452581195,0.3099937061933543,0.2936241591779407,0.4994872622881653,1.6112819464038313,0.11139400396936835,1.3785988683546953
769,"frozenset({'NA', 'Seatbelt', 'Yes'})","frozenset({'Driver', 'Unscathed', 'Unknown'})",0.5878511452581195,0.37442499805084084,0.2936241591779407,0.4994872622881653,1.3340115240391697,0.07351799526048475,1.2498682946793012
770,"frozenset({'NA', 'Unscathed', 'Unknown'})","frozenset({'Driver', 'Seatbelt', 'Yes'})",0.42932235928483375,0.47017391019404586,0.2936241591779407,0.6839246846287265,1.4546206622703999,0.0917679867792574,1.6762653204461766
771,"frozenset({'NA', 'Unscathed', 'Yes'})","frozenset({'Driver', 'Seatbelt', 'Unknown'})",0.3561565745420606,0.47017391019404586,0.2936241591779407,0.8244243688481031,1.7534455889052931,0.1261686298841829,3.0176516315500654
772,"frozenset({'NA', 'Yes', 'Unknown'})","frozenset({'Driver', 'Seatbelt', 'Unscathed'})",0.7927800885200741,0.2936241591779407,0.2936241591779407,0.37037277226029347,1.2613838496710412,0.06084477227322055,1.1218953210741407
