,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Pedestrian'}),frozenset({'Unknown'}),0.9819335119745436,0.9996231786970357,0.981661363255736,0.9997228440464769,1.0000997029196255,9.786474659911892e-05,1.3596002473494955
1,frozenset({'Unknown'}),frozenset({'Pedestrian'}),0.9996231786970357,0.9819335119745436,0.981661363255736,0.9820314136125654,1.0000997029196252,9.786474659911892e-05,1.0054484885962023
2,frozenset({'Crossing'}),frozenset({'Unknown'}),0.7892103500251214,0.9996231786970357,0.789063808407302,0.9998143186821932,1.0001912120379268,0.00015084965459000177,2.0293980429219447
3,frozenset({'Unknown'}),frozenset({'Crossing'}),0.9996231786970357,0.7892103500251214,0.789063808407302,0.7893612565445026,1.0001912120379268,0.00015084965459000177,1.0007164233744734
4,frozenset({'Pedestrian'}),frozenset({'Crossing'}),0.9819335119745436,0.7892103500251214,0.7762728186233462,0.7905553778914828,1.0017042704347687,0.0013207279365199387,1.0064218782646255
5,frozenset({'Crossing'}),frozenset({'Pedestrian'}),0.7892103500251214,0.9819335119745436,0.7762728186233462,0.9836069922279106,1.001704270434769,0.0013207279365199387,1.1020850033522374
6,"frozenset({'Pedestrian', 'Crossing'})",frozenset({'Unknown'}),0.7762728186233462,0.9996231786970357,0.7762100150728521,0.9999190960330089,1.0002960288859637,0.00022971258447546106,4.657636911743899
7,"frozenset({'Pedestrian', 'Unknown'})",frozenset({'Crossing'}),0.981661363255736,0.7892103500251214,0.7762100150728521,0.790710568966988,1.00190091138797,0.0014727069716548025,1.0071681543327906
8,"frozenset({'Unknown', 'Crossing'})",frozenset({'Pedestrian'}),0.789063808407302,0.9819335119745436,0.7762100150728521,0.9837100711026213,1.0018092458464987,0.0014018185114617054,1.10905874048128
9,frozenset({'Pedestrian'}),"frozenset({'Unknown', 'Crossing'})",0.9819335119745436,0.789063808407302,0.7762100150728521,0.7904914188252852,1.0018092458464984,0.0014018185114617054,1.0068140904299892
10,frozenset({'Crossing'}),"frozenset({'Pedestrian', 'Unknown'})",0.7892103500251214,0.981661363255736,0.7762100150728521,0.9835274145202791,1.0019009113879702,0.0014727069716548025,1.1132822328856848
11,frozenset({'Unknown'}),"frozenset({'Pedestrian', 'Crossing'})",0.9996231786970357,0.7762728186233462,0.7762100150728521,0.7765026178010471,1.0002960288859637,0.00022971258447546106,1.0010281962832852
12,frozenset({'Alone'}),frozenset({'Unknown'}),0.7677315357561547,0.9996231786970357,0.7675012560710098,0.9997000518092329,1.0000769020905433,5.9017912485526125e-05,1.2562879676009888
13,frozenset({'Unknown'}),frozenset({'Alone'}),0.9996231786970357,0.7677315357561547,0.7675012560710098,0.7677905759162303,1.0000769020905433,5.9017912485526125e-05,1.0002542539361121
14,frozenset({'Alone'}),frozenset({'Crossing'}),0.7677315357561547,0.7892103500251214,0.6320339976553341,0.8232487115861805,1.0431296441563085,0.026132323595895235,1.192577728097612
15,frozenset({'Crossing'}),frozenset({'Alone'}),0.7892103500251214,0.7677315357561547,0.6320339976553341,0.8008435237008938,1.0431296441563085,0.026132323595895235,1.166261165893543
16,"frozenset({'Pedestrian', 'Alone'})",frozenset({'Unknown'}),0.7533285881761849,0.9996231786970357,0.7531820465583654,0.9998054745032653,1.0001823645250676,0.0001373286423373976,1.9371306553106975
17,frozenset({'Unknown'}),"frozenset({'Pedestrian', 'Alone'})",0.9996231786970357,0.7533285881761849,0.7531820465583654,0.7534659685863874,1.0001823645250674,0.0001373286423373976,1.0005572472466164
18,"frozenset({'Alone', 'Crossing'})",frozenset({'Unknown'}),0.6320339976553341,0.9996231786970357,0.6318874560375146,0.9997681428240204,1.0001450187731478,9.162225669478996e-05,1.6252302796850542
19,"frozenset({'Alone', 'Unknown'})",frozenset({'Crossing'}),0.7675012560710098,0.7892103500251214,0.6318874560375146,0.8233047842452675,1.043200693223373,0.026167521088992562,1.1929561820591228
20,"frozenset({'Unknown', 'Crossing'})",frozenset({'Alone'}),0.789063808407302,0.7677315357561547,0.6318874560375146,0.800806537196222,1.0430814678043556,0.02609828659937652,1.166044612983353
21,frozenset({'Alone'}),"frozenset({'Unknown', 'Crossing'})",0.7677315357561547,0.789063808407302,0.6318874560375146,0.8230578354647834,1.0430814678043556,0.02609828659937652,1.192119425840502
22,frozenset({'Crossing'}),"frozenset({'Alone', 'Unknown'})",0.7892103500251214,0.7675012560710098,0.6318874560375146,0.800657842383087,1.043200693223373,0.026167521088992562,1.1663300262646703
23,frozenset({'Unknown'}),"frozenset({'Alone', 'Crossing'})",0.9996231786970357,0.6320339976553341,0.6318874560375146,0.6321256544502618,1.000145018773148,9.162225669478996e-05,1.0002491524512012
24,"frozenset({'Pedestrian', 'Alone'})",frozenset({'Crossing'}),0.7533285881761849,0.7892103500251214,0.6212108524535254,0.8246213700152841,1.0448689249818321,0.02667613369506794,1.2019118292419593
25,"frozenset({'Pedestrian', 'Crossing'})",frozenset({'Alone'}),0.7762728186233462,0.7677315357561547,0.6212108524535254,0.8002481054987729,1.0423540889336946,0.025241729246064826,1.1627847877178379
26,"frozenset({'Alone', 'Crossing'})",frozenset({'Pedestrian'}),0.6320339976553341,0.9819335119745436,0.6212108524535254,0.9828756914312212,1.0009595145141579,0.0005954894485127316,1.0550199999546503
27,frozenset({'Pedestrian'}),"frozenset({'Alone', 'Crossing'})",0.9819335119745436,0.6320339976553341,0.6212108524535254,0.6326404434495256,1.0009595145141579,0.0005954894485127316,1.001650823514396
